Title,Duration
Matisse,1h 37Minutes
Maurice,2h 21Minutes
Matthew Bourne's Romeo + Juliet,1h 31Minutes
Matthew Bourne's Swan Lake,2h 6Minutes
Matthew Bourne's The Car Man,1h 38Minutes
Mayor,1h 29Minutes
McCullin,1h 36Minutes
McQueen,1h 46Minutes
Me And You,1h 36Minutes
"Mektoub, My Love",2h 55Minutes
Melancholia,2h 15Minutes
Memories Of Murder,2h 11Minutes
Memories Of My Father,2h 16Minutes
Mia Madre,1h 47Minutes
Michael,1h 36Minutes
Michael H. Profession: Director,1h 32Minutes
Mid-august Lunch,1h 12Minutes
Mid90s,1h 25Minutes
Midnight Family,1h 21Minutes
The Midwife,1h 57Minutes
Military Wives,1h 53Minutes
Minding The Gap,1h 33Minutes
Mirror,1h 47Minutes
Misbehaviour,1h 46Minutes
Miss Juneteenth,1h 39Minutes
Mister John,1h 35Minutes
MLK/FBI,1h 44Minutes
Moebius,1h 29Minutes
Moffie,1h 44Minutes
The Mole Agent,1h 24Minutes
Monica,1h 53Minutes
Monos,1h 42Minutes
Monsoon,1h 25Minutes
Moonlight,1h 48Minutes
Mother (2009),2h 9Minutes
Mother (2021),1h 22Minutes
Mouthpiece,1h 32Minutes
Mr Jones,2h 21Minutes
Mrs Henderson Presents,1h 39Minutes
Mrs Lowry And Son,1h 31Minutes
Murmur Of The Heart,1h 58Minutes
Mustang,1h 37Minutes
My Beautiful Laundrette,1h 37Minutes
"My Donkey, My Lover & I",1h 37Minutes
My Life As A Courgette,1h 6Minutes
My Old Lady,1h 47Minutes
Mystery,1h 34Minutes
Mystify: Michael Hutchence,1h 44Minutes
Nowhere Special,1h 36Minutes
The Nettle Dress,1h 8Minutes
Name Me Lawand,1h 31Minutes
Nam June Paik: Moon Is the Oldest TV,1h 47Minutes
No Bears,1h 47Minutes
Nothing Lasts Forever,1h 27Minutes
The Neon Demon,1h 52Minutes
Nostalgia For The Light,1h 30Minutes
No Country for Old Men,2h 2Minutes
Notebook On Cities And Clothes,1h 18Minutes
Lightning Over Water,1h 29Minutes
Notre-Dame on Fire,1h 50Minutes
The Novice,1h 34Minutes
Navalny,1h 39Minutes
Never Gonna Snow Again,1h 56Minutes
The Nest,1h 47Minutes
Natural Light,1h 43Minutes
Next Door,1h 32Minutes
Ninjababy,1h 44Minutes
The Nightmare,1h 28Minutes
Night of the Kings,1h 33Minutes
Nénette,1h 10Minutes
Napoleon Acts I&II,2h 57Minutes
Nostalgia (2023),1h 58Minutes
Napoleon Acts III&IV,2h 35Minutes
Neighbouring Sounds,2h 11Minutes
National Gallery,3h 1Minutes
Never Look Away,3h 9Minutes
Next Of Kin,1h 10Minutes
The Night Is Young,1h 45Minutes
Night Moves,1h 52Minutes
The Nightingale,2h 16Minutes
Nobody Knows,2h 21Minutes
Non-Fiction,1h 48Minutes
Nosferatu The Vampyre,1h 47Minutes
Nostalgia (1983),2h 3Minutes
Notes On Blindness,1h 30Minutes
Nymphomaniac Vol 1&2,4h 1Minutes
Nurse Edith Cavell,1h 38Minutes
The Old Oak,1h 53Minutes
On the Adamant,1h 49Minutes
Once Upon a Time in Uganda,1h 34Minutes
One Fine Morning,1h 53Minutes
On Our Doorstep,1h 31Minutes
Other People's Children,1h 44Minutes
On The Road,2h 17Minutes
On Chesil Beach,1h 44Minutes
Official Competition,1h 55Minutes
Omar,1h 36Minutes
One of These Days,2h 1Minutes
The Outsiders: The Complete Novel,1h 50Minutes
Oliver Sacks: His Own Life,1h 51Minutes
The Offering,1h 51Minutes
"Oslo, August 31st",1h 35Minutes
On A Magical Night,1h 26Minutes
The Odyssey,2h 2Minutes
One Man and His Shoes,1h 23Minutes
Of Gods And Men,1h 52Minutes
Of Horses And Men,1h 21Minutes
Oldboy,2h 0Minutes
One Way To Moscow,1h 39Minutes
Only Lovers Left Alive,2h 3Minutes
Only The Animals,1h 56Minutes
Only You,1h 59Minutes
Orlando,1h 29Minutes
The Other Side Of Hope,1h 40Minutes
Our Little Sister,2h 8Minutes
Passages,1h 32Minutes
Pamfir,1h 46Minutes
Pacifiction,2h 45Minutes
The Pearl Button,1h 22Minutes
Palermo Shooting,1h 48Minutes
The Party,1h 8Minutes
Paterson,1h 55Minutes
Palio,1h 31Minutes
Place De La Republique,1h 31Minutes
Phantom India Part One,3h 23Minutes
Phantom India Part Two,2h 33Minutes
A Private War,1h 50Minutes
A Prophet,2h 35Minutes
The Piano,1h 56Minutes
Potiche,1h 39Minutes
The Painted Bird,2h 49Minutes
The Painter And The Thief,1h 42Minutes
Pandora And The Flying Dutchman,2h 0Minutes
Parasite,2h 11Minutes
"Paris, 13th District",1h 45Minutes
Parasite: Black And White Edition,2h 11Minutes
Paris Memories,1h 43Minutes
"Paris, Texas",2h 18Minutes
The Past,2h 10Minutes
Past Lives,1h 46Minutes
The Peanut Butter Falcon,1h 33Minutes
Perfect 10,1h 23Minutes
The Perfect Candidate,1h 41Minutes
Perfumes,1h 40Minutes
Persian Lessons,2h 7Minutes
The Personal History Of David Copperfield,1h 59Minutes
Personal Shopper,1h 45Minutes
Peter von Kant,1h 25Minutes
Philomena,1h 38Minutes
Photograph,1h 48Minutes
Pig,1h 32Minutes
A Pigeon Sat On A Branch Reflecting On Existence,1h 40Minutes
Pina,1h 43Minutes
Pinocchio,2h 5Minutes
Pirates,1h 20Minutes
Plan 75,1h 53Minutes
Play,1h 58Minutes
Playground,1h 12Minutes
Playlist,1h 24Minutes
Pleasure,1h 49Minutes
"Police, Adjective",1h 49Minutes
Polisse,2h 7Minutes
Poly Styrene: I Am a Cliché,1h 29Minutes
Portrait Of A Lady On Fire,2h 0Minutes
Possessor,1h 43Minutes
Pray for Our Sinners,1h 21Minutes
A Prayer Before Dawn,1h 52Minutes
Preparations to Be Together For an Unknown Period of Time,1h 35Minutes
Pretty Red Dress,1h 50Minutes
Proxima,1h 47Minutes
The Public,2h 0Minutes
PVT Chat,1h 26Minutes
The Queen of Versailles,1h 40Minutes
The Quiet Girl,1h 34Minutes
A Quiet Place Part II,1h 37Minutes
Queen & Country,1h 55Minutes
Quartet,1h 41Minutes
The Queen,1h 43Minutes
Querelle,1h 48Minutes
"Quo Vadis, Aida?",1h 43Minutes
R.M.N.,2h 7Minutes
Raging Grace,1h 40Minutes
Rudy,1h 49Minutes
Return to Seoul,1h 59Minutes
Reality,1h 22Minutes
Rodeo,1h 46Minutes
"Riotsville, U.S.A.",1h 31Minutes
Risk,1h 26Minutes
Rimini,1h 55Minutes
Royal Opera House: The Nutcracker,3h 1Minutes
Return to Dust,2h 14Minutes
Russian Ark,1h 35Minutes
Royal Opera House: La traviata,2h 15Minutes
Royal Opera House: Madama Butterfly,2h 45Minutes
Royal Opera House: Le nozze di Figaro,3h 3Minutes
Rocks,1h 33Minutes
Room 666,44Minutes
Royal Opera House: La bohème,3h 3Minutes
The Railway Children Return,1h 35Minutes
Royal Opera House: Fidelio,2h 30Minutes
Royal Opera House: Swan Lake,3h 45Minutes
Royal Opera House: Dances at a Gathering/The Cellist,1h 5Minutes
Royal Opera House: The Sleeping Beauty,3h 21Minutes
Royal Opera House: Coppelia,2h 30Minutes
Reaching For The Moon,1h 58Minutes
Royal Opera House: Don Giovanni,3h 30Minutes
Reprise,1h 45Minutes
Red Road,1h 50Minutes
Rebel Dread,1h 26Minutes
Rurangi,1h 28Minutes
Reservoir Dogs,1h 39Minutes
Rebellion,2h 16Minutes
Requiem For A Dream,1h 42Minutes
The Raft,1h 38Minutes
RYUICHI SAKAMOTO: CODA,1h 40Minutes
Rose Plays Julie,1h 41Minutes
Redemption of a Rogue,1h 33Minutes
Rapt,2h 3Minutes
Route Irish,1h 49Minutes
Rivers And Tides,1h 30Minutes
The Rider,1h 41Minutes
Rust and Bone,1h 58Minutes
Room,1h 53Minutes
Rush,1h 58Minutes
Radioactive,1h 49Minutes
Rafiki,1h 22Minutes
A Rainy Day In New York,1h 33Minutes
Raise Hell: The Life and Times of Molly Ivins,1h 33Minutes
Recorder: The Marion Stokes Project,1h 27Minutes
Rams (2016),1h 33Minutes
Rams (2021),1h 55Minutes
The Rape Of Recy Taylor,1h 31Minutes
Ray & Liz,1h 49Minutes
RBG,1h 38Minutes
Red Army,1h 24Minutes
Rescue Dawn,2h 6Minutes
The Return,1h 45Minutes
Ricky,1h 24Minutes
Rosetta,1h 35Minutes
A Royal Affair,2h 18Minutes
The Soil and the Sea,1h 14Minutes
"Someone's Daughter, Someone's Son",1h 27Minutes
Samsara,1h 53Minutes
Sunset Boulevard,1h 50Minutes
Sweet Sue,1h 37Minutes
Scrapper,1h 24Minutes
Smoking Causes Coughing,1h 17Minutes
Shine,1h 45Minutes
La Syndicaliste,2h 2Minutes
Slow Motion,1h 27Minutes
Squaring the Circle (the story of hipgnosis),1h 41Minutes
"Small, Slow But Steady",1h 40Minutes
The Super 8 Years,1h 4Minutes
Sick of Myself,1h 37Minutes
Strangers on a Train,1h 41Minutes
Saint Omer,2h 3Minutes
Subject,1h 37Minutes
Sauvage,1h 37Minutes
She Is Love,1h 20Minutes
Somers Town,1h 11Minutes
See How They Fall,1h 30Minutes
A Simple Favour,1h 52Minutes
Sing Street,1h 46Minutes
Slow West,1h 21Minutes
Strawberry Mansion,1h 31Minutes
The Score,1h 40Minutes
The Scarlet Letter,1h 26Minutes
The State Of Things,1h 56Minutes
Sexy Beast,1h 29Minutes
Shallow Grave,1h 32Minutes
Swan Song,1h 45Minutes
The Straight Story,1h 52Minutes
Short Term 12,1h 36Minutes
Sorry Angel,2h 12Minutes
The Souvenir Part II,1h 47Minutes
Summer 1993,1h 34Minutes
Scream (2022),1h 54Minutes
Scott Walker: 30 Century Man,1h 36Minutes
Spider,1h 38Minutes
Salmon Fishing In The Yemen,1h 47Minutes
Skate Kitchen,1h 46Minutes
Spencer,1h 57Minutes
The Story of Film: A New Generation,2h 40Minutes
The Storms Of Jeremy Thomas,1h 34Minutes
Sweetheart,1h 43Minutes
The Servant,1h 56Minutes
EXHIBITION ON SCREEN: Sunflowers,1h 25Minutes
The Story of Looking,1h 30Minutes
Sacro GRA,1h 31Minutes
Sweet Thing,1h 31Minutes
Shorta,1h 48Minutes
Spitfire,1h 35Minutes
Sicilian Ghost Story,1h 53Minutes
Set The Piano Stool On Fire,1h 17Minutes
The Student,1h 55Minutes
Snow In Paradise,1h 48Minutes
A Swedish Love Story,1h 55Minutes
Shadows In Paradise,1h 16Minutes
SICARIO 2: SOLDADO,2h 2Minutes
Sunset,2h 22Minutes
Spiral,1h 19Minutes
Stray,1h 12Minutes
Sequin in a Blue Room,1h 20Minutes
The Short Films Of Claire Oakley,53Minutes
Songs From The Second Floor,1h 34Minutes
Spaceship Earth,1h 54Minutes
Sonatine,1h 34Minutes
Show Me The Picture: The Story Of Jim Marshall,1h 32Minutes
Saint Frances,1h 46Minutes
Supernova,1h 33Minutes
Surge,1h 45Minutes
Sightseers,1h 25Minutes
The Sense of an Ending,1h 48Minutes
Sweat,1h 45Minutes
Servants,1h 20Minutes
The Sacrifice,2h 29Minutes
Saint Maud,1h 24Minutes
The Salesman,2h 23Minutes
The Salt Of The Earth,1h 50Minutes
Sátántángó: Part One,7h 30Minutes
Sátántángó: Part Two,7h 30Minutes
A Scandal In Paris,1h 40Minutes
The Seasons In Quincy,1h 33Minutes
The Selfish Giant,1h 30Minutes
A Separation,2h 6Minutes
The Seventh Continent,1h 47Minutes
Shakespeare Wallah,2h 3Minutes
She Dies Tomorrow,1h 24Minutes
Sherlock Jr.,45Minutes
Shirley,1h 46Minutes
Shooting The Mafia,1h 37Minutes
Shoplifters,2h 1Minutes
A Short Film About Killing,1h 22Minutes
A Short Film About Love,1h 23Minutes
Showgirls,2h 11Minutes
Shun Li And The Poet,1h 38Minutes
The Silence Of Lorna,1h 45Minutes
Simple Passion,1h 39Minutes
Sing Me A Song,1h 39Minutes
Sisters with Transistors,1h 30Minutes
The Skin I Live In,2h 5Minutes
Slalom,1h 32Minutes
Slumdog Millionaire,2h 3Minutes
Snowpiercer,2h 6Minutes
"So Long, My Son",3h 5Minutes
Solaris,2h 46Minutes
Some Kind of Heaven,1h 23Minutes
Something In The Air,2h 2Minutes
Son Of Saul,1h 47Minutes
Songbird,1h 32Minutes
The Souvenir,1h 59Minutes
Spring Blossom,1h 13Minutes
The Square,2h 26Minutes
St. Martin's Lane,1h 24Minutes
Stalker,2h 42Minutes
Stardust,1h 49Minutes
"Steamboat Bill, Jr.",1h 19Minutes
Still Alice,1h 41Minutes
Still Life,1h 33Minutes
Still Walking,1h 54Minutes
Stories We Tell,1h 48Minutes
Storm In A Teacup,1h 27Minutes
Stranger By The Lake,1h 40Minutes
The Street,1h 34Minutes
Stroszek,1h 48Minutes
Sudden Fear,1h 50Minutes
Summer of '85,1h 40Minutes
Summerland,1h 40Minutes
Summertime,1h 45Minutes
Support The Girls,1h 27Minutes
The Sweet Hereafter,1h 52Minutes
Synchronic,1h 42Minutes
System Crasher,1h 58Minutes
Tchaikovsky's Wife,2h 23Minutes
This Blessed Plot,1h 15Minutes
Tótem,1h 35Minutes
Tarrac,1h 34Minutes
TISH,1h 30Minutes
Trenque Lauquen: Part 1,2h 8Minutes
Trenque Lauquen: Part 2,2h 12Minutes
Typist Artist Pirate King,1h 48Minutes
There's Something in the Barn,1h 37Minutes
To Nowhere,1h 25Minutes
The Talented Mr. Ripley,2h 19Minutes
Tori and Lokita,1h 29Minutes
The Trial,1h 59Minutes
Triangle of Sadness,2h 27Minutes
Three Minutes: A Lengthening,1h 9Minutes
Testament Of Youth,2h 7Minutes
Tokyo-Ga,1h 32Minutes
A Trick of the Light,1h 16Minutes
Trainspotting,1h 34Minutes
The Thief of Paris,2h 0Minutes
Touching The Void,1h 46Minutes
True Things,1h 42Minutes
Tigers,1h 56Minutes
Theo and the Metamorphosis,1h 36Minutes
Tom Of Finland,1h 55Minutes
Tiny Furniture,1h 38Minutes
Tabu,1h 58Minutes
Trees Lounge,1h 35Minutes
Three Days In Quiberon,1h 55Minutes
Titane,1h 48Minutes
Taming the Garden,1h 30Minutes
The Tango Lesson,1h 40Minutes
There Is No Evil,2h 30Minutes
The Toll,1h 22Minutes
The Tree,1h 41Minutes
"Take Care Of Your Scarf, Tatjana",0Minutes
Total Balalaika Show,57Minutes
Talking About Trees,1h 34Minutes
Tripping with Nils Frahm,1h 27Minutes
Tell It To The Bees,1h 48Minutes
Two Of Us,1h 35Minutes
Tove,1h 40Minutes
The 8th,1h 34Minutes
Tinker Tailor Soldier Spy,2h 2Minutes
Tale Of Tales,2h 13Minutes
Talk To Her,1h 54Minutes
Thérèse Desqueyroux,1h 50Minutes
The Thief Of Baghdad,2h 26Minutes
Things To Come,1h 42Minutes
The Third Murder,2h 4Minutes
Three Colours: Blue,1h 38Minutes
Three Colours: White,1h 32Minutes
Three Colours: Red,1h 39Minutes
Through The Wall,1h 51Minutes
Thunder Road,1h 30Minutes
Tie Me Up! Tie Me Down!,1h 37Minutes
Timbuktu,1h 36Minutes
Tomboy,1h 22Minutes
Toni Erdmann,2h 39Minutes
Totally Under Control,2h 3Minutes
Train to Busan Presents: Peninsula,1h 56Minutes
Transit,1h 42Minutes
Trishna,1h 53Minutes
True History Of The Kelly Gang,2h 5Minutes
True Mothers,2h 20Minutes
Truman & Tennessee: An Intimate Conversation,1h 26Minutes
The Truth,1h 46Minutes
The Turin Horse,2h 26Minutes
"Two Days, One Night",1h 35Minutes
Under the Fig Trees,1h 32Minutes
Under The Shadow,1h 24Minutes
Until the End of the World - Director's Cut,4h 47Minutes
Under The Skin (1997),1h 22Minutes
The Unbearable Weight of Massive Talent,1h 47Minutes
Una,1h 30Minutes
UTØYA-JULY 22,1h 37Minutes
Underground,1h 37Minutes
Uncle Boonmee Who Can Recall His Past Lives,1h 53Minutes
Under The Rainbow,1h 52Minutes
Undine,1h 32Minutes
Under the Skin (2014),1h 46Minutes
Unhinged,1h 33Minutes
Unrelated,1h 40Minutes
The Unknown Girl,1h 42Minutes
The Virgin Suicides,1h 37Minutes
The Villainess,2h 3Minutes
Vesper,1h 54Minutes
Vortex,2h 22Minutes
Van Gogh,2h 38Minutes
The Velvet Queen: Snow Leopard,1h 32Minutes
Valley Of Love,1h 32Minutes
Venus In Fur,1h 36Minutes
Vita & Virginia,1h 50Minutes
Vagabond,1h 41Minutes
Van Gogh & Japan,1h 27Minutes
Varda By Agnès,1h 55Minutes
Victoria,2h 18Minutes
Vincere,1h 59Minutes
Vivarium,1h 37Minutes
Volver,1h 58Minutes
Vox Lux,1h 54Minutes
Wonka,1h 56Minutes
We Dare To Dream (Audio Description),1h 38Minutes
We Dare to Dream,1h 38Minutes
War Pony,1h 55Minutes
While We Watched,1h 35Minutes
Winners,1h 25Minutes
What's Love Got to Do With It?,1h 49Minutes
The Work,1h 29Minutes
The Whale,1h 57Minutes
"Westwood: Punk, Icon, Activist",1h 19Minutes
The Wings of the Dove,1h 42Minutes
What Do We See When We Look at the Sky?,2h 31Minutes
Wrong Move,1h 39Minutes
Wildhood,1h 48Minutes
Wings of Desire,2h 2Minutes
Wadjda,1h 38Minutes
The Worst Person in the World,2h 8Minutes
Wake Up Punk,1h 23Minutes
Wild Men,1h 42Minutes
The Wonders,1h 51Minutes
We're All Going to the World's Fair,1h 26Minutes
Wheel of Fortune and Fantasy,2h 1Minutes
What Is Cinema?,1h 20Minutes
Wildland,1h 28Minutes
Wildfire,1h 25Minutes
WeWork: Or the Making and Breaking of a $47 Billion Unicorn,1h 44Minutes
Winter Sleep,3h 16Minutes
The Workshop,1h 49Minutes
Whitney,2h 0Minutes
WITCH: We Intend To Cause Havoc,1h 29Minutes
White Colour Black,1h 25Minutes
Weiner,1h 35Minutes
The Wound,1h 24Minutes
The Wild Pear Tree,3h 8Minutes
"A White, White Day",1h 49Minutes
The Wailing,2h 29Minutes
The Witches of the Orient,1h 40Minutes
Wildlife,1h 44Minutes
The White Crow,2h 7Minutes
The Wrestler,1h 49Minutes
W.C. Fields Comedy Shorts,1h 30Minutes
Waiting For The Barbarians,1h 54Minutes
The Walker,1h 48Minutes
Waltz With Bashir,1h 30Minutes
Wanted For Murder,1h 43Minutes
We Need To Talk About Kevin,1h 50Minutes
We The Animals,1h 34Minutes
Weekend (2011),1h 36Minutes
What Maisie Knew,1h 39Minutes
What Richard Did,1h 28Minutes
The Whistlers,1h 37Minutes
White Material,1h 40Minutes
The White Ribbon,2h 24Minutes
White Riot,1h 20Minutes
Who You Think I Am,1h 42Minutes
Wild Tales,1h 52Minutes
Williams,1h 44Minutes
Winter's Bone,1h 40Minutes
Woman At War,1h 40Minutes
The Woman In The Fifth,1h 24Minutes
The Woman Who Ran,1h 17Minutes
Women Make Film: Part One,3h 0Minutes
Women Make Film: Part Two,3h 0Minutes
Women Make Film: Part Three,3h 0Minutes
Women Make Film: Part Four,3h 0Minutes
Women Make Film: Part Five,2h 0Minutes
Women Without Men,1h 40Minutes
Woyzeck,1h 20Minutes
Wreckers,1h 26Minutes
Wuthering Heights,2h 8Minutes
Your Fat Friend,1h 34Minutes
A Year in a Field,1h 26Minutes
You Can Live Forever,1h 36Minutes
You Resemble Me,1h 30Minutes
Young Soul Rebels,1h 45Minutes
Yuli,1h 51Minutes
You Cannot Kill David Arquette,1h 30Minutes
Youth,2h 1Minutes
You Were Never Really Here,1h 30Minutes
You Don't Nomi,1h 32Minutes
"You, The Living",1h 32Minutes
Young Ahmed,1h 30Minutes
Young Picasso,1h 25Minutes
Zama,1h 50Minutes
Zana,1h 37Minutes
Zazie Dans le Métro,1h 28Minutes
